	RNA.FC003_Epithelial.0	RNA.FC003_Epithelial.1	RNA.FC003_Epithelial.2	RNA.FC003_Epithelial.4	RNA.FC003_Epithelial.3	RNA.FC004_Epithelial.0	RNA.FC004_Epithelial.1	RNA.FC004_Epithelial.2	RNA.FC004_Epithelial.4	RNA.FC004_Epithelial.3	RNA.FC006_Epithelial.0	RNA.FC006_Epithelial.1	RNA.FC006_Epithelial.2	RNA.FC006_Epithelial.4	RNA.FC006_Epithelial.3	RNA.FC007_Epithelial.0	RNA.FC007_Epithelial.1	RNA.FC007_Epithelial.2	RNA.FC007_Epithelial.4	RNA.FC007_Epithelial.3	RNA.FC008_Epithelial.0	RNA.FC008_Epithelial.1	RNA.FC008_Epithelial.2	RNA.FC008_Epithelial.4	RNA.FC008_Epithelial.3	RNA.FC009_Epithelial.0	RNA.FC009_Epithelial.1	RNA.FC009_Epithelial.2	RNA.FC009_Epithelial.4	RNA.FC009_Epithelial.3	RNA.FC011_Epithelial.0	RNA.FC011_Epithelial.1	RNA.FC011_Epithelial.2	RNA.FC011_Epithelial.4	RNA.FC011_Epithelial.3	RNA.FC012_Epithelial.0	RNA.FC012_Epithelial.1	RNA.FC012_Epithelial.2	RNA.FC012_Epithelial.4	RNA.FC012_Epithelial.3	RNA.FC013_Epithelial.0	RNA.FC013_Epithelial.1	RNA.FC013_Epithelial.2	RNA.FC013_Epithelial.4	RNA.FC013_Epithelial.3	RNA.FC014_Epithelial.0	RNA.FC014_Epithelial.1	RNA.FC014_Epithelial.2	RNA.FC014_Epithelial.4	RNA.FC014_Epithelial.3	RNA.FC018_Epithelial.0	RNA.FC018_Epithelial.1	RNA.FC018_Epithelial.2	RNA.FC018_Epithelial.4
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	14882.1387	14932.52726	15177.68368	15049.51092	15173.31216	15430.45529	15395.62691	15865.33518	15238.39432	15909.7494	14908.93986	15040.00272	16285.2605	14993.8818	15177.8754	14913.62357	14844.10205	15788.04647	15122.32103	15381.34008	14980.69317	14908.46547	15271.55481	15212.03504	15614.0038	15269.42233	15308.36816	15910.695	15400.27932	15479.51096	14895.1188	15083.64886	14809.46347	14946.23677	15802.02606	14849.09995	14926.76578	15395.19874	15195.1025	15476.53124	14786.98085	14937.5809	15569.19472	15194.72179	15496.32453	15342.31006	15319.08887	15549.94138	15152.01574	15577.87969	17926.74089	18045.29939	19559.94319	18389.65921
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	14882.1387	14932.52726	15177.68368	15049.51092	15173.31216	15430.45529	15395.62691	15865.33518	15238.39432	15909.7494	14908.93986	15040.00272	16285.2605	14993.8818	15177.8754	14913.62357	14844.10205	15788.04647	15122.32103	15381.34008	14980.69317	14908.46547	15271.55481	15212.03504	15614.0038	15269.42233	15308.36816	15910.695	15400.27932	15479.51096	14895.1188	15083.64886	14809.46347	14946.23677	15802.02606	14849.09995	14926.76578	15395.19874	15195.1025	15476.53124	14786.98085	14937.5809	15569.19472	15194.72179	15496.32453	15342.31006	15319.08887	15549.94138	15152.01574	15577.87969	17926.74089	18045.29939	19559.94319	18389.65921
ACGALK2_pos	782.0186161	789.6271699	782.5096649	780.4510253	779.5367219	798.0998375	798.3272883	793.9049159	783.5502025	803.2357773	784.3235215	793.3643157	826.4793344	791.0004346	785.7398942	790.8335083	788.9624618	811.9069439	793.2699963	794.8872034	796.4647366	791.5711014	797.1320672	786.0793854	806.5871	793.5680991	788.443897	797.3309851	785.3065261	795.4130191	793.1104937	793.5944529	788.0082034	781.3322777	796.9458734	786.4532047	786.7613913	796.9971871	784.537887	796.827558	789.9548251	792.9407385	804.5370888	798.1832178	804.4699581	801.6749023	799.8593952	799.7065553	793.9231957	807.3105564	843.2115412	870.6496948	882.6488238	770.4207567
ACGALK_pos	778.6854644	786.2339929	779.2905385	776.8610536	776.0890894	793.7254641	793.9843616	789.579882	779.1911413	798.2879878	780.2522352	789.6320162	822.8780243	787.2055157	782.0773646	787.5201945	785.8429401	809.195369	790.3287178	791.4268744	793.4919673	788.3716124	794.2879386	783.0228488	803.4117583	789.6607444	784.4756915	793.7369129	781.3638393	790.7419687	789.3021563	789.6250591	784.6281016	777.6350398	792.0097236	783.4414169	783.6130572	794.324978	781.3215569	793.6125875	786.9316555	789.8437037	801.549692	795.1206202	801.1193153	798.2648808	796.4269053	796.651699	790.5747964	803.5709063	840.7277558	861.1496948	873.1488238	767.5942399
ACGALtlg_neg	1354.966133	1359.125519	1359.979475	1344.63013	1358.744766	1390.052399	1381.75215	1408.490427	1371.886269	1426.125497	1354.509514	1359.773496	1438.785836	1359.253606	1361.754841	1359.752731	1355.788634	1401.116821	1369.62703	1389.286494	1367.65571	1358.568486	1380.664411	1372.739359	1404.078755	1377.87777	1374.310795	1400.475969	1384.806425	1390.477271	1360.782782	1364.793513	1350.258903	1351.731146	1404.723567	1354.776693	1356.157676	1381.139457	1362.433928	1389.074506	1355.395	1364.575737	1394.498198	1373.424962	1397.514895	1381.375309	1374.955531	1388.857787	1366.109112	1400.825965	1507.038342	1543.973632	1601.636546	1497.765526
ACGALtlg_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGALtly_pos	778.6854644	786.2339929	779.2905385	776.8610536	776.0890894	793.7254641	793.9843616	789.579882	779.1911413	798.2879878	780.2522352	789.6320162	822.8780243	787.2055157	782.0773646	787.5201945	785.8429401	809.195369	790.3287178	791.4268744	793.4919673	788.3716124	794.2879386	783.0228488	803.4117583	789.6607444	784.4756915	793.7369129	781.3638393	790.7419687	789.3021563	789.6250591	784.6281016	777.6350398	792.0097236	783.4414169	783.6130572	794.324978	781.3215569	793.6125875	786.9316555	789.8437037	801.549692	795.1206202	801.1193153	798.2648808	796.4269053	796.651699	790.5747964	803.5709063	840.7277558	861.1496948	873.1488238	767.5942399
ACGAM2E_neg	9434.711072	9739.532154	9534.782787	9321.994488	9401.754748	9782.96072	9910.751445	10137.98317	9495.526071	10166.46116	9494.554725	9834.362728	10606.21994	10790.75977	10055.20066	9600.343197	9443.508776	9823.973895	9542.033117	9772.636171	9248.488096	9316.514315	9530.308179	9451.274313	9836.981003	9698.396254	9894.990225	10397.86491	9676.486394	9739.071792	9436.02764	9534.90925	9462.742873	9326.031287	9956.829574	9378.428597	9513.773995	9852.356931	9654.571938	9688.755187	9414.049065	9356.176085	9837.086871	9504.771192	9652.324951	9810.6758	9846.009464	9925.678791	9756.552014	9875.456499	11304.85434	11910.58831	13276.27881	12479.69272
ACGAM2E_pos	50681.77144	51221.78806	51114.78519	50529.88195	51895.78879	52440.70638	52661.12558	53333.22238	51449.27784	54447.80851	51252.32353	51817.39613	54799.34976	51441.58864	51917.55181	51160.71114	51242.0402	53831.95213	51914.45524	52705.88972	51393.2993	51370.44387	52075.69256	51592.73925	53172.69933	52349.70958	52463.65742	54340.13766	52206.53492	53180.61682	51256.59047	51804.56212	50684.10814	50927.61673	53316.98249	50929.31458	51395.22231	52404.27025	51736.22184	52680.69614	51148.83401	51665.37278	53257.45764	51972.49399	53165.715	52596.22834	52703.54934	52917.29143	52071.81412	53397.76063	59981.39078	60063.56571	64718.75562	59894.42405
ACGAM6PSi_pos	8203.243019	8124.838517	8199.735268	8162.449808	8162.719283	8600.029276	8260.301265	8807.047977	8017.760465	8878.051487	8050.80396	8178.298534	8585.842625	8123.514449	8947.65396	8136.965761	7780.246031	8158.308854	7937.215343	8185.024953	8144.522693	7940.870483	8223.017369	7811.191188	8539.097748	8451.463996	8158.130606	8649.70718	7980.302695	8265.616305	8215.216148	7991.231692	8045.271606	7721.537549	8666.438279	7990.718985	7817.231148	7942.507403	7859.750279	8276.782779	7878.100363	7722.203173	8115.536837	7898.287625	8251.120459	8294.522698	8116.626103	8116.663316	7969.740066	8507.522605	10843.59787	8117.761439	10305.08658	9523.863238
ACGAMK_pos	9401.767046	9704.214354	9495.587794	9284.234223	9361.295448	9751.424304	9880.542114	10097.2891	9468.503779	10130.61795	9461.089066	9800.321285	10571.90925	10765.38566	10015.81018	9567.756477	9412.494895	9792.614184	9519.125989	9739.983455	9222.977201	9289.320668	9501.141702	9425.388722	9805.529591	9666.233698	9861.954148	10353.38821	9645.288585	9705.230631	9406.227853	9504.276988	9432.764432	9300.771677	9924.886261	9348.782794	9483.612008	9822.171318	9627.005704	9662.698514	9384.485738	9330.205896	9807.716051	9483.166924	9626.757779	9777.884177	9814.295393	9893.385359	9724.148366	9850.508915	11273.90952	11868.5185	13224.36814	12416.21564
ACGAMPM_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGAMPM_pos	9434.711072	9739.532154	9534.782787	9321.994488	9401.754748	9782.96072	9910.751445	10137.98317	9495.526071	10166.46116	9494.554725	9834.362728	10606.21994	10790.75977	10055.20066	9600.343197	9443.508776	9823.973895	9542.033117	9772.636171	9248.488096	9316.514315	9530.308179	9451.274313	9836.981003	9698.396254	9894.990225	10397.86491	9676.486394	9739.071792	9436.02764	9534.90925	9462.742873	9326.031287	9956.829574	9378.428597	9513.773995	9852.356931	9654.571938	9688.755187	9414.049065	9356.176085	9837.086871	9504.771192	9652.324951	9810.6758	9846.009464	9925.678791	9756.552014	9875.456499	11304.85434	11910.58831	13276.27881	12479.69272
ACGAMtly_pos	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850
ACGBGBSIDEtg_neg	1354.966133	1359.125519	1359.979475	1344.63013	1358.744766	1390.052399	1381.75215	1408.490427	1371.886269	1426.125497	1354.509514	1359.773496	1438.785836	1359.253606	1361.754841	1359.752731	1355.788634	1401.116821	1369.62703	1389.286494	1367.65571	1358.568486	1380.664411	1372.739359	1404.078755	1377.87777	1374.310795	1400.475969	1384.806425	1390.477271	1360.782782	1364.793513	1350.258903	1351.731146	1404.723567	1354.776693	1356.157676	1381.139457	1362.433928	1389.074506	1355.395	1364.575737	1394.498198	1373.424962	1397.514895	1381.375309	1374.955531	1388.857787	1366.109112	1400.825965	1507.038342	1543.973632	1601.636546	1497.765526
ACGBGBSIDEtg_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGBGBSIDEtl_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGBGBSIDEtl_pos	1354.966133	1359.125519	1359.979475	1344.63013	1358.744766	1390.052399	1381.75215	1408.490427	1371.886269	1426.125497	1354.509514	1359.773496	1438.785836	1359.253606	1361.754841	1359.752731	1355.788634	1401.116821	1369.62703	1389.286494	1367.65571	1358.568486	1380.664411	1372.739359	1404.078755	1377.87777	1374.310795	1400.475969	1384.806425	1390.477271	1360.782782	1364.793513	1350.258903	1351.731146	1404.723567	1354.776693	1356.157676	1381.139457	1362.433928	1389.074506	1355.395	1364.575737	1394.498198	1373.424962	1397.514895	1381.375309	1374.955531	1388.857787	1366.109112	1400.825965	1507.038342	1543.973632	1601.636546	1497.765526
ACGPID_pos	75.95128058	77.3958518	78.07430779	77.00597161	77.8381309	77.05613182	78.15434415	79.39034312	76.80101311	80.55212595	76.33017437	77.41747162	82.65741083	78.15560003	78.16382238	77.16163425	77.03486916	83.04916324	76.85412165	79.58777524	76.35195257	76.70208432	78.12262916	77.9802208	78.83760038	77.02433774	77.76227135	80.11458621	77.82830027	77.7298815	75.95022065	76.76829564	76.22508578	76.42680112	78.59111054	76.61748777	77.47909397	81.11182818	77.83735506	78.81927837	77.41403881	77.46153184	80.55182124	77.79563091	78.85858327	78.18876198	78.74560849	80.03909576	78.66488483	79.92285497	89.03382034	89.40805697	95.03058928	91.1829784
ACGSm_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACHEe_pos	11450.10837	11426.00184	11810.301	11779.23361	11658.08919	11624.85186	11514.12534	12040.32383	10707.28079	11845.88109	11101.29444	11530.79342	12012.12512	11036.63495	12204.44737	11394.7712	11212.23522	11659.59928	11254.76102	11456.89441	11522.51335	11388.9372	11767.60414	11140.08369	11965.86619	11392.02	11196.60293	11803.85471	11184.49649	11507.13602	11354.06561	11414.25323	11269.92526	11032.84692	11919.96797	11296.10433	11229.23264	11553.89341	11293.30846	11639.63891	11389.1825	11287.4462	11697.23634	11422.5392	11744.11282	11717.95812	11577.18034	11753.06342	11417.80503	11906.44296	14263.59802	12606.69646	13771.58515	12544.20619
ACHVESSEC_pos	7475.311488	7693.329947	7433.590421	7530.471731	7543.935487	8024.272532	7949.059367	8047.034808	7878.351523	8340.446548	7654.568481	8047.653736	8644.85726	7306.634011	7672.059778	7773.602439	7833.624362	8313.678304	7965.040221	7965.757876	7847.020217	7938.73696	7920.264697	8128.226951	8253.583599	7842.129144	7800.474926	8175.717545	7876.821493	8027.140819	7711.884688	7978.850702	7706.382261	8026.159577	8376.056494	7791.152444	7874.544909	8101.179411	7905.619256	8169.522192	7829.612456	7925.112058	8225.326151	8092.443735	8215.36973	8059.762135	8031.444093	8139.382908	7906.89913	7969.218335	9155.053388	8929.407056	9412.202586	8882.718552
ACHtn_neg	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5686.759138	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
ACHtn_pos	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5686.759138	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
ACITL_pos	11576.25724	11708.14287	11654.70839	11492.3368	11733.17069	12077.71152	12320.80779	12440.26352	12227.63472	12197.79323	11602.7062	11732.15469	12438.63964	11442.3608	11673.20147	11772.48346	11937.93052	12350.183	12023.2519	12061.82119	11825.01626	11915.13759	11933.26135	11788.60109	12111.10347	11879.18351	12062.11509	12385.00679	12010.91194	12104.05188	11879.10723	12031.1867	11781.83695	11850.98607	12256.8441	11765.11159	11907.23044	12242.92204	12002.53043	12168.97308	11803.89381	12136.87925	12347.32278	12094.96801	12340.37898	12057.98156	12132.78086	12046.83509	11814.525	12243.56888	13167.36013	11835.1416	15041.69029	14703.3139
ACN13ACNGALGBSIDEte_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN13ACNGALGBSIDEte_pos	19572.63337	19627.34896	19800.18603	19600.83219	19883.97315	20223.66964	20130.64619	20713.9334	19846.47403	20808.60262	19601.78002	19762.27488	21266.31848	19725.54854	20041.84398	19622.78115	19449.2051	20551.81968	19869.85649	20155.61917	19631.14601	19523.6006	20001.07099	19861.1672	20466.86145	20059.24909	20047.07724	20869.9808	20069.69825	20323.84979	19579.64369	19744.67043	19458.78376	19478.33938	20720.6633	19497.03675	19551.01067	20121.96018	19869.51347	20213.36333	19444.2112	19561.06295	20392.1432	19887.30241	20311.53377	20128.99056	20045.2411	20341.14015	19883.45342	20479.34858	23343.38407	23459.08728	25518.36005	24043.68214
ACN13ACNGALGBSIDEtg_neg	19572.63337	19627.34896	19800.18603	19600.83219	19883.97315	20223.66964	20130.64619	20713.9334	19846.47403	20808.60262	19601.78002	19762.27488	21266.31848	19725.54854	20041.84398	19622.78115	19449.2051	20551.81968	19869.85649	20155.61917	19631.14601	19523.6006	20001.07099	19861.1672	20466.86145	20059.24909	20047.07724	20869.9808	20069.69825	20323.84979	19579.64369	19744.67043	19458.78376	19478.33938	20720.6633	19497.03675	19551.01067	20121.96018	19869.51347	20213.36333	19444.2112	19561.06295	20392.1432	19887.30241	20311.53377	20128.99056	20045.2411	20341.14015	19883.45342	20479.34858	23343.38407	23459.08728	25518.36005	24043.68214
ACN13ACNGALGBSIDEtg_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN23ACNGALGBSIDEte_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN23ACNGALGBSIDEte_pos	19572.63337	19627.34896	19800.18603	19600.83219	19883.97315	20223.66964	20130.64619	20713.9334	19846.47403	20808.60262	19601.78002	19762.27488	21266.31848	19725.54854	20041.84398	19622.78115	19449.2051	20551.81968	19869.85649	20155.61917	19631.14601	19523.6006	20001.07099	19861.1672	20466.86145	20059.24909	20047.07724	20869.9808	20069.69825	20323.84979	19579.64369	19744.67043	19458.78376	19478.33938	20720.6633	19497.03675	19551.01067	20121.96018	19869.51347	20213.36333	19444.2112	19561.06295	20392.1432	19887.30241	20311.53377	20128.99056	20045.2411	20341.14015	19883.45342	20479.34858	23343.38407	23459.08728	25518.36005	24043.68214
ACN23ACNGALGBSIDEtg_neg	19572.63337	19627.34896	19800.18603	19600.83219	19883.97315	20223.66964	20130.64619	20713.9334	19846.47403	20808.60262	19601.78002	19762.27488	21266.31848	19725.54854	20041.84398	19622.78115	19449.2051	20551.81968	19869.85649	20155.61917	19631.14601	19523.6006	20001.07099	19861.1672	20466.86145	20059.24909	20047.07724	20869.9808	20069.69825	20323.84979	19579.64369	19744.67043	19458.78376	19478.33938	20720.6633	19497.03675	19551.01067	20121.96018	19869.51347	20213.36333	19444.2112	19561.06295	20392.1432	19887.30241	20311.53377	20128.99056	20045.2411	20341.14015	19883.45342	20479.34858	23343.38407	23459.08728	25518.36005	24043.68214
ACN23ACNGALGBSIDEtg_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	21981.28606	22115.1527	22330.03579	22155.9477	22407.52259	22791.2629	22785.3862	23405.05039	22447.72184	23508.15068	22059.74583	22295.80316	23857.77559	22331.87821	22537.7089	22081.24853	21999.96108	23288.60366	22525.39736	22823.45557	22111.11329	22040.78204	22535.81448	22494.06184	23081.17186	22632.49925	22695.79807	23645.72064	22764.65442	23029.25837	22003.16718	22291.50485	21929.02516	22118.11633	23350.83336	21941.47517	22092.60783	22765.79722	22512.02583	22864.79179	21922.32632	22144.93735	23089.80272	22543.64288	22985.59203	22701.55112	22666.97257	22964.90851	22461.74595	23171.7033	26462.0021	26499.47448	28914.77397	27243.48852
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	21981.28606	22115.1527	22330.03579	22155.9477	22407.52259	22791.2629	22785.3862	23405.05039	22447.72184	23508.15068	22059.74583	22295.80316	23857.77559	22331.87821	22537.7089	22081.24853	21999.96108	23288.60366	22525.39736	22823.45557	22111.11329	22040.78204	22535.81448	22494.06184	23081.17186	22632.49925	22695.79807	23645.72064	22764.65442	23029.25837	22003.16718	22291.50485	21929.02516	22118.11633	23350.83336	21941.47517	22092.60783	22765.79722	22512.02583	22864.79179	21922.32632	22144.93735	23089.80272	22543.64288	22985.59203	22701.55112	22666.97257	22964.90851	22461.74595	23171.7033	26462.0021	26499.47448	28914.77397	27243.48852
ACNACNGALGBSIDEte_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNACNGALGBSIDEte_pos	19600.74396	19640.02639	19813.95219	19588.20396	19883.97315	20250.67708	20149.92062	20736.10151	19832.06604	20808.60262	19620.28794	19762.27488	21304.8115	19725.54854	20068.50658	19639.69784	19458.72216	20551.81968	19869.85649	20155.61917	19651.48844	19540.89658	20007.79139	19861.1672	20458.3187	20075.83739	20050.43179	20894.0673	20079.29957	20326.64957	19605.43371	19740.63241	19482.36731	19468.52834	20720.6633	19509.97401	19554.62295	20123.44405	19851.81414	20213.36333	19458.85257	19564.39343	20392.47533	19891.45137	20313.84224	20140.99168	20054.29529	20345.59605	19891.3372	20487.11135	23343.38407	23459.08728	25518.36005	24043.68214
ACNACNGALGBSIDEtg_neg	19600.74396	19640.02639	19813.95219	19588.20396	19883.97315	20250.67708	20149.92062	20736.10151	19832.06604	20808.60262	19620.28794	19762.27488	21304.8115	19725.54854	20068.50658	19639.69784	19458.72216	20551.81968	19869.85649	20155.61917	19651.48844	19540.89658	20007.79139	19861.1672	20458.3187	20075.83739	20050.43179	20894.0673	20079.29957	20326.64957	19605.43371	19740.63241	19482.36731	19468.52834	20720.6633	19509.97401	19554.62295	20123.44405	19851.81414	20213.36333	19458.85257	19564.39343	20392.47533	19891.45137	20313.84224	20140.99168	20054.29529	20345.59605	19891.3372	20487.11135	23343.38407	23459.08728	25518.36005	24043.68214
ACNACNGALGBSIDEtg_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNAM9PL2_pos	14429.85704	14768.51607	14743.34525	14386.25723	14692.23545	15256.81975	15612.96051	15674.51215	15794.14891	15885.37703	14564.22328	15082.41737	16668.8897	14120.0018	14453.66273	14573.53954	14748.13136	15922.11639	15275.80176	14950.67164	14704.28911	14913.62511	14967.44917	15605.03367	15542.86767	15206.11782	15464.19585	15938.9534	15440.45922	15632.44203	14632.30103	15387.47512	14568.54298	15243.44178	16016.96088	14606.27747	15031.65347	15304.39067	15477.06781	15622.13857	14612.57821	14998.9769	15745.85669	15409.92806	15655.07226	15263.53813	15510.55778	15502.72925	15166.68656	15382.57086	17544.36719	17964.3491	18675.30283	18383.36363
ACNAM9PL_pos	14245.74632	14633.57655	14174.72595	14011.77728	14369.82712	15150.59771	15386.64339	15221.6585	15374.02089	15623.20671	14546.40353	15099.87328	16330.25622	14173.94376	14683.47661	14527.2762	14622.85515	15264.16471	14952.01007	14813.46685	14619.98514	14729.3495	14722.31726	15187.1129	15413.36216	15087.54688	15357.97948	15787.83387	15100.34375	15478.98605	14579.67475	15055.13196	14523.27415	15008.75135	15742.7703	14552.30707	14794.19413	14901.70206	15018.09516	15182.97488	14452.60184	14693.23915	15164.3354	15020.30393	15199.96631	15218.26262	15284.68728	15215.45723	14949.48149	15070.31741	17198.14659	17409.72497	17992.86655	17570.31077
ACNAMPH_pos	14245.74632	14633.57655	14174.72595	14011.77728	14369.82712	15150.59771	15386.64339	15221.6585	15374.02089	15623.20671	14546.40353	15099.87328	16330.25622	14173.94376	14683.47661	14527.2762	14622.85515	15264.16471	14952.01007	14813.46685	14619.98514	14729.3495	14722.31726	15187.1129	15413.36216	15087.54688	15357.97948	15787.83387	15100.34375	15478.98605	14579.67475	15055.13196	14523.27415	15008.75135	15742.7703	14552.30707	14794.19413	14901.70206	15018.09516	15182.97488	14452.60184	14693.23915	15164.3354	15020.30393	15199.96631	15218.26262	15284.68728	15215.45723	14949.48149	15070.31741	17198.14659	17409.72497	17992.86655	17570.31077
ACNAMlt_neg	28947.3228	29388.52484	29282.75049	28896.62459	29547.45843	30128.86356	30462.25451	30938.52978	29831.79899	31706.09109	29231.26691	29625.35226	32332.27905	29481.9324	29393.62769	29225.46502	29363.28028	31008.71628	29851.75521	30228.73113	29043.28709	29195.9278	29545.19533	29944.85864	30625.76817	30154.47168	30437.9342	31439.92614	30084.40112	30521.2698	29121.99475	29655.45556	28967.96744	29434.34622	31132.17632	29036.272	29476.49192	30157.7236	29853.05902	30301.12405	29156.85251	29565.7897	30618.54925	29935.74035	30549.54051	30095.90627	30256.45083	30438.63648	29847.1073	30824.63562	35384.00907	34824.57185	37788.0301	35805.74594
ACNAMlt_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNAMtn_pos	11043.22467	11135.81071	11225.83391	11330.50318	11375.90843	10991.38564	11154.94314	11080.7004	10743.339	11294.68473	11224.53696	11193.57354	11310.29208	11684.51591	10854.84522	11198.06849	11231.9544	11503.82946	11270.55683	11135.49831	11137.86651	11144.07539	11374.43198	11382.73766	11119.543	11070.36366	11124.27913	11279.7428	10896.56441	11361.85148	10910.66293	11050.20099	11160.57928	10970.5257	11539.50322	11107.96315	11163.23869	11348.38181	11173.94627	11248.44693	11177.85273	11202.14397	11355.29846	11124.02407	11397.55611	11268.78928	11219.56694	11353.25613	11265.36743	11504.52781	12109.01667	11976.7869	12168.94809	12038.54399
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	17410.47772	17436.17522	17656.23184	17511.44192	17626.27056	18013.98233	17918.21385	18589.97428	17800.94477	18502.40573	17402.70694	17554.50977	18887.63115	17633.97637	17814.08336	17445.4874	17361.74134	18410.92679	17772.46119	18004.27998	17520.88352	17406.29778	17870.40889	17814.85175	18251.07801	17823.51962	17858.18353	18546.69462	18023.91534	18104.95917	17381.74601	17562.79928	17332.54428	17491.82025	18448.4081	17348.30572	17425.66888	18028.83101	17784.02545	18074.03763	17308.64898	17492.50342	18262.53455	17846.09248	18170.89808	17888.3084	17828.14598	18138.77722	17668.30808	18263.98686	20875.19755	20935.37743	22854.55937	21585.74751
